,road,county,city,state
2391,West Shields Avenue,Fresno County,Fresno,California
2392,Cessna Drive,Sacramento County,,California
2393,Sycamore Canyon Road,Santa Barbara County,,California
2394,Dog Bar Road,Nevada County,,California
2395,Pine Creek Road,Tehama County,,California
2396,Canfield Road,Los Angeles County,Pasadena,California
2397,Ivy Drive,Tuolumne County,,California
2398,West 4th Street,Los Angeles County,Los Angeles,California
2399,Stockham Avenue,Tulare County,,California
2400,Woodranch Circle,Contra Costa County,,California
2401,Tilden Avenue,Los Angeles County,Los Angeles,California
2402,Eshom Valley Drive,Tulare County,,California
2403,Ascot Drive,Alameda County,Oakland,California
2404,South Park Place,San Diego County,El Cajon,California
2405,International Boulevard Busway,Alameda County,Oakland,California
2406,Broadway,Los Angeles County,Long Beach,California
2407,Longridge Road,Alameda County,Oakland,California
2408,Alameda de las Pulgas,San Mateo County,San Mateo,California
2409,Pine Avenue,Nevada County,,California
2410,,Riverside County,,California
2411,Virginia Road,Los Angeles County,Los Angeles,California
2412,Mc Clelland Street,San Diego County,,California
2413,Mira Vista,Orange County,,California
2414,Highway 4,Calaveras County,,California
2415,Easy Avenue,Los Angeles County,Long Beach,California
2416,Fairland Way,Santa Cruz County,Santa Cruz,California
2417,East 14th Street,Los Angeles County,Los Angeles,California
2418,30th Street,San Diego County,San Diego,California
2419,Monteith Drive,Los Angeles County,,California
2420,Filbert Street,,San Francisco,California
2421,East Santa Rosa Street,Fresno County,,California
2422,County Road M,Glenn County,,California
2423,West Avenue,Sonoma County,Santa Rosa,California
2424,Alison Avenue,Santa Barbara County,Santa Maria,California
2425,,Ventura County,,California
2426,Sacramento Street,,San Francisco,California
2427,Slusher Drive,Los Angeles County,,California
2428,South Valencia Boulevard,Tulare County,,California
2429,Prestwick Drive,Los Angeles County,Los Angeles,California
2430,L Street,Sacramento County,Sacramento,California
2431,47th Avenue,Sacramento County,Sacramento,California
2432,Grapevine Way,Santa Clara County,San Jose,California
2433,Club Drive,Kings County,,California
2434,Brown Lane,San Joaquin County,,California
2435,Valley Street,Los Angeles County,Santa Clarita,California
2436,,Lassen County,,California
2437,Desert Barranca Trail,Riverside County,,California
2438,,Tulare County,,California
2439,Ponderosa Avenue,Santa Clara County,Sunnyvale,California
2440,39th Avenue,Lake County,,California
2441,Verdura Avenue,Los Angeles County,,California
2442,International Boulevard,Alameda County,Oakland,California
2443,Jonathan Street,San Bernardino County,,California
2444,Berendos Avenue,San Mateo County,,California
2445,Stacey Avenue,Imperial County,El Centro,California
2446,North Sepulveda Boulevard,Los Angeles County,Los Angeles,California
2447,,Solano County,,California
2448,Levee Path,Sacramento County,Sacramento,California
2449,West 2nd Street,Kings County,Hanford,California
2450,Westminster Court,Los Angeles County,,California
2451,Hydra Lane,San Diego County,San Diego,California
2452,Dronfield Avenue,Los Angeles County,Los Angeles,California
2453,Golden Gate Avenue,,San Francisco,California
2454,Dolecetto Drive,Sacramento County,,California
2455,Illion Street,San Diego County,San Diego,California
2456,Serrano Avenue,Orange County,,California
2457,Hawley Boulevard,San Diego County,San Diego,California
2458,Root Street,San Diego County,San Diego,California
2459,Biola Avenue,Los Angeles County,,California
2460,South Oswell Street,Kern County,Bakersfield,California
2461,Floyd Avenue,Stanislaus County,Modesto,California
2462,Renee Avenue,Kern County,Bakersfield,California
2463,East Main Street,Tulare County,Visalia,California
2464,Firestone Boulevard,Los Angeles County,,California
2465,Trail Street,Riverside County,,California
2466,Rose Avenue,Los Angeles County,Los Angeles,California
2467,Milford Street,Alameda County,,California
2468,Parkcrest Street,Los Angeles County,,California
2469,Meridian Avenue,Los Angeles County,Los Angeles,California
2470,Teakwood Drive,Kern County,,California
2471,Crescent Avenue,Orange County,Anaheim,California
2472,South Beth Circle,Orange County,Anaheim,California
2473,D Street,Contra Costa County,Antioch,California
2474,North Imperial Avenue,Imperial County,El Centro,California
2475,Florio Street,Alameda County,Oakland,California
2476,South Lilac Avenue,San Bernardino County,,California
2477,El Camino Real,Santa Barbara County,Santa Barbara,California
2478,Redwood Road,Napa County,,California
2479,Bethany Road,Los Angeles County,Burbank,California
2480,Chatsworth Drive,Los Angeles County,,California
2481,West Olympic Boulevard,Los Angeles County,,California
2482,Foothill Boulevard,Los Angeles County,Los Angeles,California
2483,Albers Street,Los Angeles County,Los Angeles,California
2484,East 95th Street,Los Angeles County,Los Angeles,California
2485,North Evans Road,Tulare County,,California
2486,Horley Avenue,Los Angeles County,Downey,California
2487,10th Avenue,Kern County,,California
2488,Whittier Avenue,Orange County,Costa Mesa,California
2489,Date Avenue,Los Angeles County,Lancaster,California
2490,Dorothy Avenue,Orange County,Garden Grove,California
2491,Buffalo Avenue,Los Angeles County,Los Angeles,California
2492,South Mission Drive,Los Angeles County,,California
2493,Vermont Street,San Mateo County,,California
2494,Stanton Road,San Mateo County,,California
2495,,Glenn County,,California
2496,Avenida Amapola,Orange County,,California
2497,Avenida Chapala,San Diego County,,California
2498,Brodrick Avenue,Merced County,,California
2499,Wildcat Canyon Road,Alameda County,Berkeley,California
2500,South Vermont Avenue,Los Angeles County,,California
2501,Bennett Valley Road,Sonoma County,Santa Rosa,California
2502,Skyline Road,San Diego County,Carlsbad,California
2503,Pierce Avenue,Alameda County,,California
2504,Southwest Boulevard,Sonoma County,,California
2505,US 50,Douglas County,,Nevada
2506,West Clayton Avenue,Fresno County,,California
2507,South Pacific Avenue,Orange County,Huntington Beach,California
2508,Bradford Street,Los Angeles County,Pomona,California
2509,,Butte County,,California
2510,East Altadena Drive,Los Angeles County,,California
2511,Trinity Street,San Mateo County,San Mateo,California
2512,Rolling Rock Court,Sutter County,Yuba City,California
2513,Magnolia Avenue,Riverside County,Riverside,California
2514,,Humboldt County,Eureka,California
2515,Madison Avenue,San Mateo County,Redwood City,California
2516,North Normandie Avenue,Los Angeles County,Los Angeles,California
2517,Aliso Creek Bikeway,Orange County,,California
2518,South Vernon Avenue,Riverside County,San Jacinto,California
2519,South Columbia Avenue,Fresno County,,California
2520,Medford Street,Los Angeles County,,California
2521,Washington Street,,San Francisco,California
2522,Deerspring Trail,Riverside County,,California
2523,Toolen Place,Los Angeles County,Pasadena,California
2524,5th Street,Riverside County,,California
2525,West Rose Street,San Joaquin County,Stockton,California
2526,Almanor Recreation Trail,Plumas County,,California
2527,Northgate Drive,San Joaquin County,Manteca,California
2528,Lund Avenue,Alameda County,Hayward,California
2529,Warren Avenue,Los Angeles County,Los Angeles,California
2530,Harrison Avenue,Los Angeles County,Los Angeles,California
2531,Milford Drive,Santa Clara County,Cupertino,California
2532,,Ventura County,Ventura,California
2533,North Tulip Street,San Diego County,Escondido,California
2534,Corwin Court,Alameda County,,California
2535,West Whittier Boulevard,Orange County,,California
2536,Rufus Drive,Tulare County,,California
2537,Point San Pedro Road,Marin County,San Rafael,California
2538,Midway Drive,San Diego County,San Diego,California
2539,Carlota Street,San Diego County,San Diego,California
2540,Bartlett Avenue,Los Angeles County,,California
2541,Easy Avenue,Los Angeles County,Long Beach,California
2542,Fuerte Street,San Diego County,,California
2543,Santa Florita Avenue,San Mateo County,,California
2544,East Avenida de Santiago,Orange County,Anaheim,California
2545,Boy Scout Road,Fresno County,Fresno,California
2546,East Chestnut Street,Los Angeles County,Glendale,California
2547,Panama Road,Kern County,,California
2548,,Alameda County,Oakland,California
2549,Annik Drive,Orange County,Huntington Beach,California
2550,Butler Street,San Diego County,Oceanside,California
2551,East Poplar Street,Los Angeles County,,California
2552,North Gale Hill Avenue,Tulare County,Lindsay,California
2553,North Patterson Avenue,Santa Barbara County,,California
2554,East Plaza Boulevard,San Diego County,,California
2555,Coventry Place,Orange County,Orange,California
2556,54th Street,San Diego County,San Diego,California
2557,Magnolia Place,Los Angeles County,Los Angeles,California
2558,South Riverside Avenue,San Bernardino County,,California
2559,University Avenue,San Diego County,San Diego,California
2560,4th Street,Fresno County,Orange Cove,California
2561,Cloverly Avenue,Los Angeles County,,California
2562,Fairmount Street,Los Angeles County,Los Angeles,California
2563,Sherry Court,Tuolumne County,,California
2564,Madrid Drive,San Joaquin County,Stockton,California
2565,Meadowlark Drive,Alameda County,,California
2566,Birch Street,Alameda County,,California
2567,Schulte Road,Monterey County,,California
2568,41st Avenue,,San Francisco,California
2569,Laurel Canyon Boulevard,Los Angeles County,Los Angeles,California
2570,Putnam Street,Contra Costa County,Antioch,California
2571,Skyway Road,Butte County,,California
2572,Eddy Street,,San Francisco,California
2573,East 70th Street,Los Angeles County,Long Beach,California
2574,Oak Drive,Mendocino County,,California
2575,Fulton Avenue,Sacramento County,,California
2576,Plum Ranch Road,Sonoma County,Santa Rosa,California
2577,Potomac Street,Riverside County,Riverside,California
2578,6S17,Madera County,,California
2579,Valley Boulevard,Los Angeles County,,California
2580,East Cypress Avenue,Shasta County,Redding,California
2581,East 66th Street,Los Angeles County,,California
2582,Low Chaparral Drive,San Diego County,,California
2583,Cabrillo Highway,San Luis Obispo County,San Luis Obispo,California
2584,South Divisadero Street,Tulare County,Visalia,California
2585,Cross-Alameda Trail,Alameda County,,California
2586,Chico Avenue,Los Angeles County,El Monte,California
2587,Airport Drive,Los Angeles County,Torrance,California
2588,Grafton Avenue,,San Francisco,California
2589,Montclair Street,Los Angeles County,Los Angeles,California
2590,,Lassen County,,California
2591,West Atherton Drive,San Joaquin County,Manteca,California
2592,West 48th Street,Los Angeles County,Los Angeles,California
2593,CA 26,San Joaquin County,,California
2594,Verna Way,Sacramento County,,California
2595,Hollywood Boulevard,Los Angeles County,Los Angeles,California
2596,Carmel Avenue,Alameda County,,California
2597,Silverado Place,Riverside County,Riverside,California
2598,Appian Way,Contra Costa County,,California
2599,West 17th Street,San Bernardino County,San Bernardino,California
2600,West Briggsmore Avenue,Stanislaus County,Modesto,California
2601,Tahoe Mountain Road,El Dorado County,,California
2602,Thomas L. Berkley Way,Alameda County,Oakland,California
2603,Gray Fox Circle,Alameda County,,California
2604,Hopper Avenue,Sonoma County,Santa Rosa,California
2605,Winchester Avenue,Los Angeles County,Glendale,California
2606,East Shields Avenue,Fresno County,Fresno,California
2607,County Farm Road,Riverside County,Riverside,California
2608,Muir Woods Court,Orange County,,California
2609,Orange Drive,Los Angeles County,,California
2610,Nylic Court,Los Angeles County,Long Beach,California
2611,Agundo Street,Sacramento County,,California
2612,Chapman Place,Riverside County,Riverside,California
2613,Briarpatch Drive,Ventura County,Simi Valley,California
2614,East California Avenue,Fresno County,,California
